"Index", "Name",     "Mass(kg)",    "Density(g/cm^3)", "a(km)", "b(km)", "c(km)"                                      
    1,  "Ceres",         9.46E+20,    2.09        975,     975,     909
    2,  "Pallas",        2.01E+20,    2.57        570,     525,     500
    3,  "Juno",          2.86E+19,    3.20        320,     267,     200
    4,  "Vesta",         2.59E+20,    3.33        578,     560,     458
    6,  "Hebe",          1.27E+19,    3.77        205,     185,     170
    7,  "Iris",          1.62E+19,    3.21        240,     200,     200
    8,  "Flora",         6.62E+18,    3.04        161,     161,     161
    9,  "Metis",         1.13E+19,    4.12        222,     182,     130
   10,  "Hygiea",        8.67E+19,    2.08        530,     407,     370
   11,  "Parthenope",    6.15E+18,    3.28        153,     153,     153
   13,  "Egeria",        1.59E+19,    3.38        208,     208,     208
   14,  "Irene",         6.94E+18,    3.73        167,     153,     139
   15,  "Eunomia",       3.18E+19,    3.14        357,     255,     212
   16,  "Psyche",        2.27E+19,    6.73        240,     185,     145
   17,  "Thetis",        1.43E+18,    2.89        117,      90,      90
   18,  "Melpomene",     3.00E+18,    1.69        170,     155,     129
   19,  "Fortuna",       8.31E+18,    1.77        225,     205,     195
   20,  "Massalia",      3.34E+18,    2.08        160,     145,     132
   21,  "Lutetia",       2.61E+18,    4.27        124,     101,      93                              
   22,  "Kalliope",      8.09E+18,    2.80        243,     196,     175
   24,  "Themis",        1.13E+19,    2.78        198,     198,     198
   29,  "Amphitrite",    1.52E+19,    3.04        233,     212,     193
   31,  "Euphrosyne",    5.81E+19,    6.61        256,     256,     256
   39,  "Laetitia",      5.63E+18,    3.19        210,     150,     107
   45,  "Eugenia",       5.69E+18,    1.10        232,     193,     161
   47,  "Aglaja",        2.17E+18,    2.02        127,     127,     127
   48,  "Doris",         1.21E+19,    2.12        222,     222,     222
   49,  "Pales",         2.69E+18,    1.52        150,     150,     150
   52,  "Europa",        2.27E+19,    1.57        362,     302,     252
   65,  "Cybele",        1.05E+19,    0.99        302,     290,     232
   87,  "Sylvia",        1.48E+19,    1.21        384,     262,     232                                     
   88,  "Thisbe",        1.83E+19,    3.06        255,     232,     193
   90,  "Antiope",       8.30E+17,    1.25         93,      87,      83.6
  107,  "Camilla",       1.12E+19,    1.40        344,     246,     205                     
  121,  "Hermione",      4.70E+18,    1.37        187,     187,     187
  130,  "Elektra",       6.60E+18,    1.30        108,     108,     108
  189,  "Phthia",        3.84E+16,    1.34         38,      38,      38
  243,  "Ida",           3.78E+16,    2.56         59.8,    25.4,    18.6
  253,  "Mathilde",      1.03E+17,    1.35         66,      48,      46
  283,  "Emma",          1.38E+18,    0.81        148,     148,     148
  324,  "Bamberga",      9.33E+18,    1.48        229,     229,     229
  379,  "Huenna",        3.83E+17,    0.93         92.3,    92.3,    92.3
  433,  "Eros",          6.69E+15,    2.67         34.4,    11.2,    11.2
  444,  "Gyptis",        1.25E+19,    5.53        163,     163,     163
  451,  "Patientia",     2.03E+19,    3.40        225,     225,     225
  511,  "Davida",        3.77E+19,    2.97        357,     294,     231
  532,  "Herculina",     3.34E+19,    5.80        222,     222,     222
  617,  "Patroclus",     1.20E+18,    1.08        106,     106,     106
  702,  "Alauda",        6.05E+18,    1.56        194.7,   194.7,   194.7
  704,  "Interamnia",    3.88E+19,    2.29        349,     339,     274 
  762,  "Pulcova",       1.40E+18,    0.90        137,     137,     137
  804,  "Hispania",      3.48E+18,    1.69        158,     158,     158
 3749,  "Balam",         5.09E+14,    2.61          7.2,     7.2,     7.2
25143,  "Itokawa",       3.50E+10,    1.90          0.535,   0.294,   0.209
                                                    
