"Bottom Temp (Celsius)", "Conductivity", "Rainfall (inches)"
27.6, 57.8, 0.10
29.1, 57.8, 0.17
29.4, 57.1, 0.65
28.5, 57.0, 0.00
28.6, 57.3, 0.00
28.0, 58.4, 0.00
27.9, 59.2, 0.65
29.0, 57.7, 0.00
30.6, 56.8, 0.67
31.2, 56.8, 0.03
30.7, 55.2, 1.72
28.0, 53.6, 0.00
28.3, 52.0, 0.84
30.1, 51.9, 0.00
31.3, 49.8, 0.00
31.0, 49.8, 0.06
30.8, 51.7, 0.50
28.5, 48.6, 1.50
25.9, 44.3, 1.40
28.5, 43.2, 0.00
31.9, 41.5, 0.00
31.3, 40.6, 0.18
29.4, 35.9, 2.77
30.0, 33.8, 0.04
30.1, 32.8, 0.00
28.8, 30.5, 1.11
29.5, 32.7, 0.00
30.5, 32.1, 0.04
29.2, 30.3, 1.72
28.8, 28.1, 0.00
30.1, 29.3, 0.05
29.2, 30.2, 0.07
28.2, 33.5, 0.03
29.1, 40.5, 0.00
29.9, 42.4, 0.01
29.9, 46.7, 0.00
30.6, 46.7, 0.00
30.6, 46.5, 0.00
30.9, 45.6, 0.00
30.0, 47.1, 0.00
30.7, 48.1, 0.00
31.9, 50.5, 0.00
31.5, 51.2, 0.02
31.2, 50.4, 0.00
30.9, 49.9, 0.94
30.6, 49.0, 0.00
30.1, 48.5, 0.38
31.1, 51.3, 0.05
31.5, 52.1, 0.34
31.8, 52.4, 0.02
32.0, 51.0, 0.00
32.6, 52.2, 0.34
32.9, 50.3, 0.02
32.7, 48.5, 0.00
33.5, 49.7, 0.00
33.8, 49.9, 0.09
33.7, 48.5, 0.00
33.6, 48.3, 0.00
32.3, 49.0, 0.00
31.6, 49.9, 0.00
32.0, 51.0, 0.00
