"Male", "Female"
40.1, 39.3
39.8, 40.2
42.3, 41.3
41.0, 38.1
42.5, 39.6
40.9, 40.6
35.5, 38.6
35.7, 40.5
41.1, 40.5
41.4, 40.3
42.2, 39.5
42.3, 40.7
43.2, 40.2
42.2, 38.2
42.4, 40.3
43.2, 42.6
39.9, 39.9
40.9, 40.0
40.7, 40.7
41.7, 38.6
41.7, 41.0
41.0, 43.7
40.4, 40.0
42.0, 40.1
41.2, 41.0
39.7, 40.8
41.9, 41.0
41.3, 40.3
40.2, 40.2
41.0, 39.2
41.1, 34.4
40.4, 41.0
39.2, 39.6
42.8, 40.9
41.9, 36.9
42.8, 43.6
41.0, 40.2
40.9, 40.8
42.0, 37.8
42.6, 41.2
41.0, 42.0
39.6, 38.3
40.2, 39.6
40.9, 38.9
40.2, 36.3
41.8, 39.9
41.7, 40.3
41.7, 40.1
40.9, 42.0
42.8, 41.6
