"RED", "ORANGE", "YELLOW", "BROWN", "BLUE", "GREEN"
0.87, 0.903, 0.906, 0.932, 0.838, 0.911
0.933, 0.92, 0.978, 0.86, 0.875, 1.002
0.952, 0.861, 0.926, 0.919, 0.87, 0.902
0.908, 1.009, 0.868, 0.914, 0.956, 0.93
0.911, 0.971, 0.876, 0.914, 0.968, 0.949
0.908, 0.898, 0.968, 0.904, , 0.89
0.913, 0.942, 0.921, 0.93, , 0.902
0.983, 0.897, 0.893, 0.871, , 
0.92, , 0.939, 1.033, , 
0.936, , 0.886, 0.955, , 
0.891, , 0.924, 0.876, , 
0.924, , 0.91, 0.856, , 
0.874, , 0.877, 0.866, , 
0.908, , 0.879, 0.858, , 
0.924, , 0.941, 0.988, , 
0.897, , 0.879, 0.936
0.912, , 0.94, 0.93
0.888, , 0.96, 0.923
0.872, , 0.989, 0.867
0.898, , 0.9, 0.965
0.882, , 0.917, 0.902
, , 0.911, 0.928
, , 0.892, 0.9
, , 0.886, 0.889
, , 0.949, 0.875
, , 0.934, 0.909
, , , 0.976
, , , 0.921
, , , 0.898
, , , 0.897
, , , 0.902
, , , 0.92
, , , 0.909
