"Year", "DJIA High", "US Car Sales (thousands)", "US Motor Vehicle Deaths", "US Murders and Non-Negligent Homicides", "Sunspot Number", "Super Bowl Points"
1980, 1000, 8979, 53172, 23040, 154.6, 50
1981, 1024, 8536, 51385, 22520, 140.5, 37
1982, 1071, 7982, 45779, 21010, 115.9, 57
1983, 1287, 9182, 44452, 19310, 66.6, 44
1984, 1287, 10390, 46263, 18690, 45.9, 47
1985, 1553, 11042, 45901, 18980, 17.9, 54
1986, 1956, 11460, 47865, 20610, 13.4, 56
1987, 2722, 10277, 48290, 20100, 29.2, 59
1988, 2184, 10530, 49078, 20680, 100.2, 36
1989, 2791, 9773, 47575, 21500, 157.6, 65
1990, 3000, 9300, 46814, 23440, 142.6, 39
1991, 3169, 8175, 43536, 24700, 145.7, 61
1992, 3413, 8213, 40982, 23760, 94.3, 69
1993, 3794, 8518, 41893, 24530, 54.6, 43
1994, 3978, 8991, 42524, 23330, 29.9, 75
1995, 5216, 8635, 43363, 21610, 17.5, 44
1996, 6561, 8527, 43649, 19650, 8.6, 56
1997, 8259, 8272, 43458, 18210, 21.5, 55
1998, 9374, 8142, 43501, 16970, 64.3, 53
1999, 11568, 8698, 41300, 15522, 93.3, 39
2000, 11401, 8847, 43000, 15517, 119.6, 41
