"Date", "Actual High", "Actual Low", "1 Day Predicted High", "1 Day Predicted Low", "3 Day Predicted High", "3 Day Predicted Low, "5 Day Predicted High", "5 Day Predicted Low", "Precip. (in.)"
"Jan. 1", 30, 1, 28, 13, 30, 18, 28, 16, 0
"Jan. 2", 25, -5, 29, 13, 26, 17, 27, 16, 0
"Jan. 3", 31, -5, 32, 14, 30, 13, 28, 20, 0
"Jan. 4", 33, 23, 29, 13, 32, 19, 30, 22, 0
"Jan. 5", 29, 9, 30, 19, 35, 26, 26, 15, 0
"Jan. 6", 36, 14, 35, 23, 36, 24, 35, 24, 0.26
"Jan. 7", 36, 12, 35, 21, 38, 25, 34, 23, 0
"Jan. 8", 37, 18, 32, 18, 35, 22, 34, 22, 0.01
"Jan. 9", 32, 26, 27, 17, 33, 18, 33, 21, 0.21
"Jan. 10", 28, 13, 25, 16, 34, 21, 35, 24, 0.02
"Jan. 11", 43, 7, 41, 22, 37, 26, 38, 26, 0
"Jan. 12", 37, 10, 30, 7, 37, 20, 37, 28, 0
"Jan. 13", 36, 6, 33, 20, 31, 14, 36, 16, 0
"Jan. 14", 37, 10, 40, 27, 44, 35, 36, 22, 0
"Jan. 15", 34, 29, 34, 24, 38, 29, 45, 26, 0.02
"Jan. 16", 41, 33, 38, 24, 39, 25, 36, 22, 0.05
"Jan. 17", 40, 36, 33, 15, 37, 21, 33, 21, 0
"Jan. 18", 33, 18, 35, 28, 37, 20, 34, 25, 0
"Jan. 19", 35, 32, 40, 25, 39, 32, 36, 21, 0.01
"Jan. 20", 33, 24, 27, 15, 28, 20, 33, 22, 0.02
"Jan. 21", 31, 19, 27, 10, 30, 16, 31, 18, 0.21
"Jan. 22", 33, 1, 30, 15, 31, 18, 30, 15, 0.08
"Jan. 23", 35, 0, 37, 19, 40, 23, 38, 20, 0
"Jan. 24", 38, 6, 38, 18, 40, 24, 39, 22, 0
"Jan. 25", 37, 26, 29, 14, 31, 18, 33, 17, 0.01
"Jan. 26", 31, 5, 36, 23, 32, 24, 36, 23, 0
"Jan. 27", 38, 20, 34, 16, 36, 24, 37, 21, 0.01
"Jan. 28", 35, 24, 30, 14, 36, 18, 35, 24, 0
"Jan. 29", 33, 9, 36, 28, 39, 25, 40, 26, 0
"Jan. 30", 39, 26, 41, 31, 42, 35, 36, 29, 0
"Jan. 31", 46, 32, 42, 26, 42, 30, 40, 18, 0
